,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
1486,Maruti,Swift,VDI,2015,"86,567km",Diesel,First Owner,Hatchback,Noida,363699.0
1487,Hyundai,i10,MAGNA 1.2,2008,"94,707km",Petrol,First Owner,Hatchback,Noida,157499.0
1488,Maruti,Ritz,LXI,2010,"1,01,633km",Petrol,Second Owner,Hatchback,Noida,210799.0
1489,Maruti,Swift,VDI,2013,"67,011km",Diesel,First Owner,Hatchback,Noida,345399.0
1490,Maruti,Ritz,VXI,2009,"80,590km",Petrol,First Owner,Hatchback,Noida,251299.0
1491,Honda,Brio,1.2 S MT I VTEC,2015,"71,317km",Petrol,Third Owner,Hatchback,Noida,265699.0
1492,Maruti,Ritz,LXI,2010,"75,699km",Petrol + CNG,Third Owner,Hatchback,Noida,237799.0
1493,Maruti,Swift,VXI,2014,"71,876km",Petrol,First Owner,Hatchback,Noida,382199.0
1494,Maruti,Swift,VDI ABS,2015,"92,086km",Diesel,First Owner,Hatchback,Noida,389099.0
1495,Maruti,Alto,K10 VXI,2016,"85,207km",Petrol,Second Owner,Hatchback,Noida,268299.0
1496,Maruti,Alto,LXI,2008,"54,799km",Petrol,First Owner,Hatchback,Noida,112399.0
1497,Maruti,Swift,VDI,2014,"71,382km",Diesel,First Owner,Hatchback,Noida,347599.0
1498,Maruti,Ritz,VDI,2012,"86,937km",Diesel,Second Owner,Hatchback,Noida,264999.0
1499,Maruti,Zen,Estilo VXI,2009,"98,519km",Petrol,First Owner,Hatchback,Noida,160199.0
1500,Maruti,Swift,VDI,2012,"95,400km",Diesel,Second Owner,Hatchback,Noida,285899.0
1501,Honda,Jazz,1.2 V AT,2015,"87,341km",Petrol,Second Owner,Hatchback,Noida,445899.0
1502,Fiat,Punto,EVO MULTIJET 1.3 90 HP,2014,"82,095km",Diesel,First Owner,Hatchback,Noida,266799.0
1503,Maruti,Swift,VXI,2017,"58,074km",Petrol,First Owner,Hatchback,Noida,502299.0
1504,Maruti,Swift,VDI,2014,"79,144km",Diesel,First Owner,Hatchback,Noida,365999.0
1505,Maruti,Swift,VDI ABS,2015,"76,042km",Diesel,First Owner,Hatchback,Noida,417899.0
1506,Maruti,Swift,VDI,2014,"72,597km",Diesel,First Owner,Hatchback,Noida,359299.0
1507,Hyundai,Santro,Xing GL,2008,"91,288km",Petrol,First Owner,Hatchback,Noida,145399.0
1508,Maruti,Swift,VDI ABS,2014,"83,368km",Diesel,First Owner,Hatchback,Noida,360399.0
1509,Maruti,Swift,VDI ABS,2015,"76,724km",Diesel,First Owner,Hatchback,Noida,411699.0
1510,Maruti,Ritz,VXI BS IV,2010,"1,61,419km",Petrol,Second Owner,Hatchback,Noida,201799.0
1511,Hyundai,Santro,Xing GLS,2008,"96,247km",Petrol,First Owner,Hatchback,Noida,132799.0
1512,Ford,Figo,1.4 LXI DURATORQ,2012,"1,09,230km",Diesel,First Owner,Hatchback,Noida,224199.0
1513,Maruti,Alto,K10 VXI,2011,"1,18,427km",Petrol,First Owner,Hatchback,Noida,168499.0
1514,Hyundai,i20,SPORTZ O 1.4 CRDI,2012,"87,995km",Diesel,Third Owner,Hatchback,Noida,246599.0
1515,Toyota,Etios,Liva GD,2012,"94,952km",Diesel,First Owner,Hatchback,Noida,259299.0
1516,Maruti,Swift,VDI,2013,"78,620km",Diesel,Second Owner,Hatchback,Noida,355199.0
1517,Maruti,Ritz,LDI,2012,"1,01,187km",Diesel,Second Owner,Hatchback,Noida,204899.0
1518,Maruti,Swift,VDI ABS,2015,"86,072km",Diesel,First Owner,Hatchback,Noida,412999.0
1519,Hyundai,i20,SPORTZ 1.4 CRDI,2013,"84,346km",Diesel,First Owner,Hatchback,Noida,331699.0
1520,Maruti,Zen,Estilo VXI,2009,"99,165km",Petrol,Second Owner,Hatchback,Noida,148799.0
1521,Maruti,Swift,VDI,2013,"82,591km",Diesel,First Owner,Hatchback,Noida,331299.0
1522,Toyota,Etios,Liva D 4D GD,2012,"87,914km",Diesel,First Owner,Hatchback,Noida,260799.0
1523,Maruti,Swift,VXI,2011,"95,427km",Petrol,Second Owner,Hatchback,Noida,255499.0
1524,Maruti,Swift,VDI,2013,"86,036km",Diesel,First Owner,Hatchback,Noida,330399.0
1525,Maruti,Swift,VDI,2012,"89,809km",Diesel,First Owner,Hatchback,Noida,284699.0
1526,Maruti,Swift,VDI ABS,2015,"85,611km",Diesel,First Owner,Hatchback,Noida,407799.0
1527,Hyundai,i10,ERA,2007,"1,09,750km",Petrol,First Owner,Hatchback,Noida,155999.0
1528,Maruti,Swift,VDI,2014,"82,346km",Diesel,First Owner,Hatchback,Noida,347199.0
1529,Maruti,Swift,VDI,2013,"87,567km",Diesel,First Owner,Hatchback,Noida,332999.0
1530,Maruti,Swift,VDI ABS,2015,"86,417km",Diesel,First Owner,Hatchback,Noida,426199.0
1531,Maruti,Swift,VDI,2013,"81,239km",Diesel,First Owner,Hatchback,Noida,317599.0
1532,Maruti,Swift,VDI ABS,2015,"72,533km",Diesel,Second Owner,Hatchback,Noida,404499.0
1533,Hyundai,Grand,i10 MAGNA 1.1 CRDI,2014,"85,203km",Diesel,Second Owner,Hatchback,Noida,262399.0
1534,Maruti,Swift,VDI,2014,"88,382km",Diesel,First Owner,Hatchback,Noida,384899.0
1535,Maruti,Swift,VDI,2013,"87,266km",Diesel,First Owner,Hatchback,Noida,306099.0
1536,Maruti,Baleno,ALPHA DDIS 190,2016,"81,175km",Diesel,First Owner,Hatchback,Noida,527299.0
1537,Hyundai,i20,ASTA 1.4 CRDI,2012,"1,08,007km",Diesel,Second Owner,Hatchback,Noida,303699.0
1538,Maruti,Swift,VDI,2012,"1,02,024km",Diesel,First Owner,Hatchback,Noida,289999.0
1539,Honda,Brio,1.2 S MT I VTEC,2013,"90,659km",Petrol,Second Owner,Hatchback,Noida,232699.0
1540,Hyundai,i20,MAGNA O 1.4 CRDI,2013,"94,267km",Diesel,First Owner,Hatchback,Noida,313499.0
1541,Maruti,Swift,VDI ABS,2015,"92,527km",Diesel,First Owner,Hatchback,Noida,377399.0
1542,Toyota,Etios,Liva GD exclusive,2013,"97,735km",Diesel,First Owner,Hatchback,Noida,301099.0
1543,Maruti,Swift,VDI,2012,"95,613km",Diesel,First Owner,Hatchback,Noida,300599.0
1544,Maruti,Ritz,LDI,2013,"97,984km",Diesel,First Owner,Hatchback,Noida,219899.0
1545,Maruti,Swift,VXI,2014,"91,931km",Petrol,First Owner,Hatchback,Noida,361199.0
1546,Honda,Jazz,1.2 BASE I VTEC,2010,"1,07,333km",Petrol,Second Owner,Hatchback,Noida,235099.0
1547,Maruti,Ritz,VXI BS IV,2011,"1,15,774km",Petrol,First Owner,Hatchback,Noida,288199.0
1548,Volkswagen,Polo,GT TSI,2018,"43,872km",Petrol,First Owner,Hatchback,Noida,703899.0
1549,Honda,Brio,1.2 S MT I VTEC,2012,"1,06,081km",Petrol,Second Owner,Hatchback,Noida,266699.0
1550,Hyundai,Elite,i20 SPORTZ 1.4,2016,"1,05,733km",Diesel,First Owner,Hatchback,Noida,487399.0
1551,Hyundai,Elite,i20 ASTA 1.4 CRDI,2015,"82,388km",Diesel,First Owner,Hatchback,Noida,471699.0
1552,Maruti,Swift,VDI,2012,"1,42,099km",Diesel,First Owner,Hatchback,Noida,283299.0
1553,Maruti,Wagon,R 1.0 VXI,2013,"1,03,766km",Petrol,First Owner,Hatchback,Noida,275799.0
1554,Maruti,Swift,VDI ABS,2015,"91,159km",Diesel,First Owner,Hatchback,Noida,391099.0
1555,Toyota,Etios,Liva GD,2013,"1,04,810km",Diesel,First Owner,Hatchback,Noida,297699.0
1556,Maruti,Swift,LXI 1.3,2009,"1,03,858km",Petrol,First Owner,Hatchback,Noida,197299.0
1557,Maruti,Ritz,VDI,2012,"1,00,995km",Diesel,First Owner,Hatchback,Noida,237899.0
1558,Maruti,Ritz,VDI,2012,"1,23,546km",Diesel,First Owner,Hatchback,Noida,218799.0
1559,Maruti,Swift,VDI,2012,"1,15,605km",Diesel,First Owner,Hatchback,Noida,285999.0
1560,Maruti,Baleno,ALPHA DDIS 190,2016,"1,07,803km",Diesel,First Owner,Hatchback,Noida,499299.0
1561,Maruti,Swift,VDI ABS,2015,"97,868km",Diesel,First Owner,Hatchback,Noida,381999.0
1562,Maruti,Swift,VDI ABS,2015,"91,461km",Diesel,First Owner,Hatchback,Noida,405299.0
1563,Maruti,Alto,800 LXI,2012,"1,26,375km",Petrol,Second Owner,Hatchback,Noida,195299.0
1564,Maruti,Swift,VDI,2012,"1,13,073km",Diesel,First Owner,Hatchback,Noida,266999.0
1565,Maruti,Ritz,VXI,2009,"1,19,824km",Petrol,First Owner,Hatchback,Noida,189699.0
1566,Maruti,Swift,VDI ABS,2015,"1,01,209km",Diesel,First Owner,Hatchback,Noida,373099.0
1567,Maruti,Swift,VDI ABS,2015,"96,266km",Diesel,First Owner,Hatchback,Noida,409799.0
1568,Maruti,Swift,VDI ABS,2015,"1,07,563km",Diesel,First Owner,Hatchback,Noida,428099.0
1569,Maruti,Swift,VDI ABS,2015,"85,551km",Diesel,First Owner,Hatchback,Noida,412099.0
1570,Maruti,Swift,VDI,2012,"1,05,388km",Diesel,First Owner,Hatchback,Noida,349199.0
1571,Maruti,Swift,VDI,2013,"1,07,134km",Diesel,First Owner,Hatchback,Noida,299199.0
1572,Hyundai,i20,MAGNA 1.4 CRDI,2013,"81,344km",Diesel,Second Owner,Hatchback,Noida,313699.0
1573,Maruti,Swift,ZDI,2012,"1,36,700km",Diesel,First Owner,Hatchback,Noida,316299.0
1574,Hyundai,i20,SPORTZ O 1.4 CRDI,2012,"1,18,130km",Diesel,Third Owner,Hatchback,Noida,235999.0
1575,Toyota,Etios,Liva D 4D GD,2012,"1,24,471km",Diesel,First Owner,Hatchback,Noida,268299.0
1576,Maruti,Swift,VDI ABS,2015,"1,08,083km",Diesel,First Owner,Hatchback,Noida,423799.0
1577,Maruti,Swift,VDI,2012,"1,12,723km",Diesel,First Owner,Hatchback,Noida,281399.0
1578,Hyundai,i10,MAGNA 1.2 KAPPA2,2010,"1,16,941km",Petrol,First Owner,Hatchback,Noida,221299.0
1579,Maruti,Ritz,VDI,2012,"1,22,524km",Diesel,First Owner,Hatchback,Noida,225499.0
1580,Maruti,Swift,VDI ABS,2015,"1,22,515km",Diesel,First Owner,Hatchback,Noida,397599.0
1581,Hyundai,i20,SPORTZ 1.4 CRDI,2013,"1,21,090km",Diesel,First Owner,Hatchback,Noida,309599.0
1582,Toyota,Etios,Liva D 4D GD SP,2014,"1,34,058km",Diesel,Second Owner,Hatchback,Noida,330799.0
1583,Hyundai,Elite,i20 ASTA 1.2,2015,"1,10,977km",Petrol,Second Owner,Hatchback,Noida,474099.0
1584,Hyundai,Elite,i20 MAGNA 1.4 CRDI,2015,"1,06,123km",Diesel,First Owner,Hatchback,Noida,470999.0
1585,Volkswagen,Polo,GT TSI 1.2 PETROL AT,2015,"1,06,450km",Petrol,First Owner,Hatchback,Noida,431899.0
1586,Toyota,Etios,Liva G,2014,"1,76,778km",Petrol,Second Owner,Hatchback,Noida,312599.0
1587,Honda,Jazz,1.2 BASE I VTEC,2009,"2,15,809km",Petrol,First Owner,Hatchback,Noida,197899.0
1588,Hyundai,Elite,i20 SPORTZ 1.4,2017,"1,48,526km",Diesel,First Owner,Hatchback,Noida,497099.0
1589,Maruti,Swift,VDI ABS,2015,"1,13,889km",Diesel,First Owner,Hatchback,Noida,417599.0
1590,Maruti,Swift,ZXI,2014,"1,11,086km",Petrol,First Owner,Hatchback,Noida,348399.0
1591,Maruti,Swift,VDI,2012,"1,56,680km",Diesel,First Owner,Hatchback,Noida,283899.0
1592,Maruti,Swift,VDI,2014,"1,09,180km",Diesel,First Owner,Hatchback,Noida,357899.0
1593,Maruti,Swift,ZDI,2013,"1,41,309km",Diesel,First Owner,Hatchback,Noida,328499.0
1594,Maruti,Swift,LXI,2011,"1,27,463km",Petrol,First Owner,Hatchback,Noida,267699.0
1595,Toyota,Etios,Liva GD,2012,"1,60,408km",Diesel,First Owner,Hatchback,Noida,259999.0
1596,Hyundai,Grand,i10 SPORTZ 1.1 CRDI,2013,"1,07,815km",Diesel,Second Owner,Hatchback,Noida,273899.0
1597,Toyota,Etios,Liva D 4D GD,2013,"1,11,431km",Diesel,First Owner,Hatchback,Noida,314699.0
1598,Toyota,Etios,Liva GD,2013,"1,26,989km",Diesel,First Owner,Hatchback,Noida,300399.0
1599,Maruti,Swift,ZDI,2014,"1,22,254km",Diesel,Second Owner,Hatchback,Noida,396799.0
1600,Toyota,Etios,Liva D 4D GD,2014,"1,03,468km",Diesel,Second Owner,Hatchback,Noida,313799.0
1601,Maruti,Swift,VDI,2012,"1,81,285km",Diesel,First Owner,Hatchback,Noida,313199.0
1602,Hyundai,i20,SPORTZ 1.4 CRDI,2013,"1,39,784km",Diesel,First Owner,Hatchback,Noida,264599.0
1603,Hyundai,i20,MAGNA 1.2 VTVT,2009,"1,78,363km",Petrol,First Owner,Hatchback,Noida,248799.0
1604,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2013,"1,27,420km",Petrol,First Owner,Hatchback,Noida,308499.0
1605,Hyundai,Eon,ERA PLUS,2013,"1,13,870km",Petrol,First Owner,Hatchback,Noida,226699.0
1606,Maruti,Swift,VDI,2012,"1,20,187km",Diesel,Second Owner,Hatchback,Noida,288299.0
1607,Maruti,Swift,VDI,2013,"1,44,263km",Diesel,Second Owner,Hatchback,Noida,288299.0
1608,Maruti,Swift,LDI O,2015,"1,14,204km",Diesel,First Owner,Hatchback,Noida,359799.0
1609,Toyota,Etios,Liva GD,2013,"1,10,645km",Diesel,First Owner,Hatchback,Noida,304699.0
1610,Maruti,Swift,VDI,2013,"1,13,429km",Diesel,First Owner,Hatchback,Noida,338399.0
1611,Maruti,Swift,VDI ABS,2014,"97,711km",Diesel,First Owner,Hatchback,Noida,344099.0
1612,Maruti,Swift,VDI ABS,2015,"1,22,762km",Diesel,First Owner,Hatchback,Noida,362199.0
1613,Maruti,Swift,VDI,2012,"1,29,639km",Diesel,First Owner,Hatchback,Noida,291999.0
1614,Maruti,Swift,LDI BS IV,2014,"1,21,360km",Diesel,Second Owner,Hatchback,Noida,288499.0
1615,Maruti,Swift,VDI,2014,"1,15,512km",Diesel,Second Owner,Hatchback,Noida,356299.0
1616,Maruti,Swift,VDI,2013,"1,18,272km",Diesel,Third Owner,Hatchback,Noida,336799.0
1617,Maruti,Swift,VDI,2013,"1,19,978km",Diesel,First Owner,Hatchback,Noida,310699.0
1618,Maruti,Swift,ZDI,2012,"1,40,967km",Diesel,First Owner,Hatchback,Noida,293599.0
1619,Maruti,Swift,VDI,2012,"2,41,361km",Diesel,First Owner,Hatchback,Noida,319599.0
1620,Hyundai,i20,SPORTZ 1.4 CRDI,2013,"1,14,943km",Diesel,Second Owner,Hatchback,Noida,340099.0
1621,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,2014,"1,38,853km",Petrol,First Owner,Hatchback,Noida,314799.0
1622,Toyota,Etios,Liva GD,2012,"1,33,608km",Diesel,First Owner,Hatchback,Noida,245799.0
1623,Hyundai,Elite,i20 ASTA 1.4 CRDI,2015,"1,43,079km",Diesel,First Owner,Hatchback,Noida,428999.0
1624,Maruti,Alto,800 VXI,2014,"38,526km",Petrol,Second Owner,Hatchback,Noida,216099.0
1625,Maruti,Wagon,R 1.0 LXI,2015,"2,23,583km",Petrol,First Owner,Hatchback,Noida,213799.0
1626,Volkswagen,Polo,HIGHLINE1.5L DIESEL,2015,"86,855km",Diesel,First Owner,Hatchback,Noida,369899.0
1627,Tata,Nano,XT TWIST,2015,"42,878km",Petrol,First Owner,Hatchback,Noida,137899.0
1628,Hyundai,Eon,D LITE PLUS,2012,"21,998km",Petrol,First Owner,Hatchback,Noida,191899.0
1629,Hyundai,Elite,i20 Magna Executive 1.2,2018,"9,599km",Petrol,First Owner,Hatchback,Noida,551699.0
1630,Maruti,Alto,800 LXI,2017,"18,946km",Petrol,First Owner,Hatchback,Noida,275399.0
1631,Maruti,Alto,LXI,2010,"14,455km",Petrol,First Owner,Hatchback,Noida,178299.0
1632,Maruti,Celerio,VXI,2018,"6,258km",Petrol,First Owner,Hatchback,Noida,452799.0
1633,Hyundai,Eon,ERA PLUS,2014,"47,707km",Petrol,Second Owner,Hatchback,Noida,195099.0
1634,Renault,Kwid,RXL,2019,"4,037km",Petrol,First Owner,Hatchback,Noida,332299.0
1635,Maruti,Alto,LXI,2011,"38,478km",Petrol,First Owner,Hatchback,Noida,182399.0
1636,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,2016,"24,675km",Petrol,First Owner,Hatchback,Noida,405899.0
1637,Maruti,Alto,K10 VXI AMT,2016,"47,974km",Petrol,First Owner,Hatchback,Noida,273499.0
1638,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,2017,"9,249km",Petrol,First Owner,Hatchback,Noida,439999.0
1639,Chevrolet,Beat,LS DIESEL,2013,"56,002km",Diesel,Second Owner,Hatchback,Noida,160899.0
1640,Maruti,Alto,K10 VXI,2019,"8,339km",Petrol,First Owner,Hatchback,Noida,399099.0
1641,Datsun,Redi,Go T (O),2016,"39,204km",Petrol,First Owner,Hatchback,Noida,200199.0
1642,Maruti,Alto,K10 VXI,2015,"51,412km",Petrol,First Owner,Hatchback,Noida,261799.0
1643,Maruti,Zen,Estilo LXI,2010,"65,057km",Petrol,First Owner,Hatchback,Noida,184599.0
1644,Renault,Kwid,1.0 RXT Opt,2019,"18,656km",Petrol,First Owner,Hatchback,Noida,398599.0
1645,Volkswagen,Polo,HIGHLINE1.2L DIESEL,2014,"66,484km",Diesel,First Owner,Hatchback,Noida,354499.0
1646,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2014,"71,632km",Petrol,First Owner,Hatchback,Noida,356699.0
1647,Chevrolet,Beat,LT PETROL,2012,"60,335km",Petrol,Second Owner,Hatchback,Noida,223799.0
1648,Maruti,Swift,VXI,2009,"96,354km",Petrol,Second Owner,Hatchback,Noida,222599.0
1649,Toyota,Etios,Liva V,2015,"70,678km",Petrol,First Owner,Hatchback,Noida,364599.0
1650,Maruti,Swift,VDI,2014,"82,066km",Diesel,Second Owner,Hatchback,Noida,378099.0
1651,Maruti,Swift,VDI,2012,"98,323km",Diesel,First Owner,Hatchback,Noida,292799.0
1652,Maruti,Baleno,ALPHA 1.2 K12 AMT,2019,"33,336km",Petrol,First Owner,Hatchback,Noida,719999.0
1653,Honda,Jazz,1.2 V AT,2016,"80,256km",Petrol,First Owner,Hatchback,Noida,449299.0
1654,Hyundai,Grand,i10 MAGNA 1.1 CRDI,2015,"70,872km",Diesel,First Owner,Hatchback,Noida,321799.0
1655,Maruti,Swift,LXI OPT,2015,"95,434km",Petrol,First Owner,Hatchback,Noida,342999.0
1656,Maruti,Baleno,DELTA 1.2 K12,2019,"44,461km",Petrol,First Owner,Hatchback,Noida,560399.0
1657,Hyundai,i10,MAGNA 1.2,2009,"80,768km",Petrol,First Owner,Hatchback,Noida,206499.0
1658,Hyundai,i10,MAGNA 1.2 KAPPA2,2011,"1,74,592km",Petrol + CNG,First Owner,Hatchback,Noida,217899.0
1659,Maruti,Swift,VDI ABS,2015,"1,03,359km",Diesel,First Owner,Hatchback,Noida,387499.0
1660,Ford,Figo,1.4 ZXI DURATORQ,2014,"82,718km",Diesel,Second Owner,Hatchback,Noida,232799.0
1661,Maruti,Swift,VDI,2013,"1,57,320km",Diesel,First Owner,Hatchback,Noida,277299.0
1662,Maruti,Alto,K10 VXI,2011,"20,354km",Petrol,First Owner,Hatchback,Noida,210999.0
1663,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,2014,"15,033km",Petrol,First Owner,Hatchback,Noida,364899.0
1664,Maruti,Baleno,DELTA 1.2 K12,2020,"5,587km",Petrol,First Owner,Hatchback,Noida,606499.0
1665,Maruti,Celerio,VXI AMT,2016,"17,839km",Petrol,First Owner,Hatchback,Noida,386299.0
1666,Maruti,Alto,800 VXI,2017,"12,676km",Petrol,Second Owner,Hatchback,Noida,275099.0
1667,Maruti,Swift,VXI,2017,"12,848km",Petrol,First Owner,Hatchback,Noida,468899.0
1668,Maruti,S,PRESSO VXI PLUS,2019,"3,353km",Petrol,First Owner,Hatchback,Noida,395499.0
1669,Maruti,Swift,VDI ABS,2015,"29,903km",Diesel,First Owner,Hatchback,Noida,447099.0
1670,Tata,Nano,TWIST XTA,2016,"21,990km",Petrol,First Owner,Hatchback,Noida,174499.0
1671,Maruti,IGNIS,DELTA 1.2 K12 AMT,2018,"13,971km",Petrol,First Owner,Hatchback,Noida,489999.0
1672,Maruti,Baleno,SIGMA 1.2 K12,2019,"14,584km",Petrol,First Owner,Hatchback,Noida,505099.0
1673,Maruti,Alto,K10 VXI,2010,"41,190km",Petrol,First Owner,Hatchback,Noida,176199.0
1674,Maruti,Swift,VXI,2010,"27,473km",Petrol,First Owner,Hatchback,Noida,270899.0
1675,Maruti,Alto,LXI,2011,"49,111km",Petrol,Second Owner,Hatchback,Noida,127299.0
1676,Hyundai,i20,MAGNA O 1.2,2011,"44,007km",Petrol,First Owner,Hatchback,Noida,258999.0
1677,Maruti,Alto,K10 VXI,2013,"36,750km",Petrol,First Owner,Hatchback,Noida,210699.0
1678,Maruti,Alto,K10 VXI,2014,"24,357km",Petrol,First Owner,Hatchback,Noida,272399.0
1679,Maruti,Alto,800 LXI,2014,"16,339km",Petrol,First Owner,Hatchback,Noida,231299.0
1680,Maruti,Alto,K10 VXI,2011,"11,886km",Petrol,First Owner,Hatchback,Noida,214099.0
1681,Maruti,Alto,800 VXI,2014,"42,796km",Petrol,First Owner,Hatchback,Noida,242099.0
1682,Datsun,Redi,Go S 1.0,2017,"16,008km",Petrol,Second Owner,Hatchback,Noida,258899.0
1683,Hyundai,i20,ASTA 1.2,2013,"41,729km",Petrol,First Owner,Hatchback,Noida,319799.0
1684,Hyundai,Elite,i20 SPORTZ 1.2,2017,"6,210km",Petrol,First Owner,Hatchback,Noida,519199.0
1685,Hyundai,Santro,Xing GL PLUS,2013,"35,726km",Petrol,Second Owner,Hatchback,Noida,231299.0
1686,Hyundai,i10,SPORTZ 1.2 AT KAPPA2,2012,"36,725km",Petrol,First Owner,Hatchback,Noida,291299.0
1687,Maruti,Alto,800 LXI,2017,"18,113km",Petrol,First Owner,Hatchback,Noida,282999.0
1688,Renault,Kwid,RXT,2016,"31,981km",Petrol,First Owner,Hatchback,Noida,249199.0
1689,Hyundai,Eon,ERA PLUS,2012,"38,407km",Petrol,First Owner,Hatchback,Noida,197199.0
1690,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,2017,"15,673km",Petrol,First Owner,Hatchback,Noida,450199.0
1691,Maruti,Swift,VDI,2013,"39,124km",Diesel,First Owner,Hatchback,Noida,310299.0
1692,Maruti,Wagon,R 1.0 VXI,2013,"23,851km",Petrol,First Owner,Hatchback,Noida,261099.0
1693,Maruti,Ritz,ZXI ABS,2012,"39,650km",Petrol,First Owner,Hatchback,Noida,291599.0
1694,Tata,Tiago,XZ 1.2 REVOTRON,2019,"5,074km",Petrol,First Owner,Hatchback,Noida,504299.0
1695,Maruti,Ritz,VDI,2015,"22,091km",Diesel,First Owner,Hatchback,Noida,361899.0
1696,Maruti,Wagon,R 1.0 LXI,2012,"35,039km",Petrol,Second Owner,Hatchback,Noida,230199.0
1697,Hyundai,Eon,D LITE PLUS,2013,"39,239km",Petrol,First Owner,Hatchback,Noida,186599.0
1698,Hyundai,i20,ERA 1.4 CRDI,2013,"44,007km",Diesel,First Owner,Hatchback,Noida,287599.0
1699,Maruti,Swift,VXI,2011,"50,627km",Petrol,First Owner,Hatchback,Noida,248999.0
1700,Maruti,Alto,K10 VXI,2015,"57,955km",Petrol,First Owner,Hatchback,Noida,263699.0
1701,Maruti,Alto,800 LXI,2018,"5,851km",Petrol,First Owner,Hatchback,Noida,308599.0
1702,Maruti,Alto,LXI,2010,"25,088km",Petrol,Second Owner,Hatchback,Noida,173599.0
1703,Hyundai,i20,MAGNA O 1.2,2012,"52,981km",Petrol + CNG,Second Owner,Hatchback,Noida,312599.0
1704,Hyundai,Elite,i20 SPORTZ 1.2,2017,"19,330km",Petrol,Second Owner,Hatchback,Noida,533899.0
1705,Maruti,Swift,ZXI,2013,"42,835km",Petrol,Second Owner,Hatchback,Noida,362299.0
1706,Maruti,Alto,K10 LXI,2017,"2,678km",Petrol,First Owner,Hatchback,Noida,277799.0
1707,Tata,Tiago,XT 1.2 REVOTRON,2018,"4,013km",Petrol,First Owner,Hatchback,Noida,428899.0
1708,Maruti,IGNIS,SIGMA 1.2 K12,2019,"10,569km",Petrol,First Owner,Hatchback,Noida,448399.0
1709,Maruti,Swift,VXI,2015,"56,548km",Petrol,First Owner,Hatchback,Noida,376299.0
1710,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2016,"41,357km",Petrol,First Owner,Hatchback,Noida,349099.0
1711,Volkswagen,Polo,COMFORTLINE 1.2L PETROL,2016,"48,332km",Petrol,First Owner,Hatchback,Noida,413999.0
1712,Maruti,Swift,VXI,2014,"24,708km",Petrol,First Owner,Hatchback,Noida,388799.0
1713,Honda,Jazz,1.2 SELECT I VTEC,2012,"65,383km",Petrol,First Owner,Hatchback,Noida,288799.0
1714,Maruti,Wagon,R LXI,2010,"56,915km",Petrol,First Owner,Hatchback,Noida,158799.0
1715,Maruti,Alto,K10 VXI,2013,"21,784km",Petrol,Second Owner,Hatchback,Noida,235399.0
1716,Tata,Tiago,XM 1.2 REVOTRON,2019,"15,706km",Petrol,First Owner,Hatchback,Noida,386399.0
1717,Hyundai,Eon,ERA PLUS,2015,"4,711km",Petrol,First Owner,Hatchback,Noida,250899.0
1718,Maruti,Swift,VDI,2012,"30,589km",Diesel,First Owner,Hatchback,Noida,309799.0
1719,Maruti,Alto,800 LXI,2013,"50,250km",Petrol,First Owner,Hatchback,Noida,193299.0
1720,Maruti,Baleno,DELTA 1.2 K12,2018,"39,055km",Petrol,Second Owner,Hatchback,Noida,467599.0
1721,Maruti,Swift,LXI,2018,"32,922km",Petrol,First Owner,Hatchback,Noida,453299.0
1722,Honda,Brio,1.2 VX AT I VTEC,2015,"23,037km",Petrol,Second Owner,Hatchback,Noida,389799.0
1723,Maruti,Wagon,R 1.0 LXI CNG,2017,"59,442km",Petrol + CNG,First Owner,Hatchback,Noida,307899.0
1724,Renault,Kwid,RXT,2018,"26,219km",Petrol,Second Owner,Hatchback,Noida,257499.0
1725,Maruti,Swift,LXI OPT,2016,"36,517km",Petrol,First Owner,Hatchback,Noida,343899.0
1726,Maruti,Alto,LXI,2020,"19,593km",Petrol + CNG,First Owner,Hatchback,Noida,321199.0
1727,Maruti,Baleno,ZETA 1.2 K12,2017,"37,288km",Petrol,First Owner,Hatchback,Noida,495099.0
1728,Maruti,Alto,K10 VXI,2016,"34,487km",Petrol,First Owner,Hatchback,Noida,262199.0
1729,Volkswagen,Polo,HIGHLINE1.2L PETROL,2012,"66,271km",Petrol,Second Owner,Hatchback,Noida,352199.0
1730,Hyundai,Elite,i20 Magna Executive 1.2,2017,"77,341km",Petrol,Third Owner,Hatchback,Noida,481599.0
1731,Maruti,Swift,ZXI,2013,"59,872km",Petrol,Second Owner,Hatchback,Noida,375099.0
1732,Renault,Kwid,RXT Opt,2016,"58,624km",Petrol,First Owner,Hatchback,Noida,239599.0
1733,Maruti,Baleno,DELTA 1.2 K12,2018,"28,821km",Petrol,First Owner,Hatchback,Noida,520399.0
1734,Renault,Kwid,RXT,2016,"37,916km",Petrol,First Owner,Hatchback,Noida,237699.0
